Judul,Tanggal,Penulis,Isi,Link Lengkap
"Asrul Sani, Pengarang Serba Bisa yang Melahirkan Jenderal Nagabonar",,"['Chris Wibisana', 'Https', 'Www.Facebook.Com Tirtoid']","Seni dan Aktivisme Arahmaiani, Sejak Orde Baru hingga Kini",https://tirto.id/asrul-sani-pengarang-serba-bisa-yang-melahirkan-jenderal-nagabonar-gnux
Metaverse dan Web3: Masa Depan Digital yang Digenggam Big Tech,,"['Ahmad Zaenudin', 'Https', 'Www.Facebook.Com Tirtoid']","Metaverse dan Web3 diprediksi akan menjadi masa depan dunia digital. Namun, berkaca pada kasus Bitcoin, masa depan ini hanya akan terus dikuasai Big Tech.",https://tirto.id/metaverse-dan-web3-masa-depan-digital-yang-digenggam-big-tech-gndM
Sejarah Banteng yang Berusaha Melawan Feodalisme,,"['Irfan Teguh Pribadi', 'Https', 'Www.Facebook.Com Tirtoid']","



“Sebelum tahun 1959, kita mengalami masa di mana jumlah partai terlalu banyak. Saya kira, sistem ‘satu partai’ bukan pilihan yang baik. Tetapi sebaliknya terlalu banyak partai-partai menyulitkan diri kita sendiri,”



The Smiling General itu lantas menyarankan kepada pimpinan 9 partai politik dan Sekretariat Bersama Golongan Karya (Sekber Golkar) tentang pengelompokan partai-partai menjadi Golongan Spirituil, Golongan Nasionalis, dan Golongan Karya.

Ketika berpidato dalam acara Kongres XII Partai Nasional Indonesia (PNI) di Semarang, 11 April 1970, Soeharto melemparkan ide politiknya. Salah satunya: penyederhanaan jumlah partai politik.“Sebelum tahun 1959, kita mengalami masa di mana jumlah partai terlalu banyak. Saya kira, sistem ‘satu partai’ bukan pilihan yang baik. Tetapi sebaliknya terlalu banyak partai-partai menyulitkan diri kita sendiri,” sebut Soeharto.The Smiling General itu lantas menyarankan kepada pimpinan 9 partai politik dan Sekretariat Bersama Golongan Karya (Sekber Golkar) tentang pengelompokan partai-partai menjadi Golongan Spirituil, Golongan Nasionalis, dan Golongan Karya.

Walau banyak yang setuju dengan gagasan Soeharto,beberapa partai memilih kontra, seperti Partai Kristen Indonesia (Parkindo) dan Partai Katolik. Mereka terutama menolak untuk dimasukkan dalam golongan spirituil dan lebih berkenan untuk bergabung dengan golongan nasionalis.



Tidak lama kemudian, pada 9 Maret 1970, pimpinan partai gabungan kelompok nasionalis—PNI, IPKI, Parkindo, Partai Murba, dan Partai Katolik—membentuk Kelompok Demokrasi Pembangunan untuk menghadapi Pemilihan Umum (Pemilu) 1971. Meski fusi partai-partai politik itu urung terwujud pada Pemilu 1971, tetapi menurut Manuel Kaisiepo, “Inilah (Kelompok Demokrasi Pembangunan) cikal-bakal dari Partai Demokrasi Indonesia yang lahir tiga tahun kemudian.”



Seusai Partai Golongan Karya (Golkar) memenangi Pemilu 1971 dengan mengantongi 62,8 persen suara, Majelis Permusyawaratan Rakyat (MPR) hasil Pemilu 1971 menyatakan bahwa pada Pemilu 1977 hanya akan ada tiga peserta.



Pada 5 Januari 1973 partai-partai Islam, yaitu NU, PSII, dan Perti, membentuk Partai Persatuan Pembangunan (PPP). Lima hari kemudian, pada 10 Januari 1973, tepat hari ini 49 tahun lalu, Kelompok Demokrasi Pembangunan memfusikan diri dalam satu partai bernama Partai Demokrasi Indonesia (PDI).



Deklarasi pembentukan PDI ditandatangani perwakilan kelima partai: Achmad Sukardimadjaja dan Mh. Sadri dari IPKI, Ben Mang Reng Say dan F.S. Wignjosumarsono dari Partai Katolik, A. Wenas dan Sabam Sirait dari Parkindo, S. Murbantoko dan Djon Pakan dari Partai Murba, serta Mh. Isnaeni dan Abdul Madjid dari PNI. Walau banyak yang setuju dengan gagasan Soeharto,beberapa partai memilih kontra, seperti Partai Kristen Indonesia (Parkindo) dan Partai Katolik. Mereka terutama menolak untuk dimasukkan dalam golongan spirituil dan lebih berkenan untuk bergabung dengan golongan nasionalis.Tidak lama kemudian, pada 9 Maret 1970, pimpinan partai gabungan kelompok nasionalis—PNI, IPKI, Parkindo, Partai Murba, dan Partai Katolik—membentuk Kelompok Demokrasi Pembangunan untuk menghadapi Pemilihan Umum (Pemilu) 1971. Meski fusi partai-partai politik itu urung terwujud pada Pemilu 1971, tetapi menurut Manuel Kaisiepo, “Inilah (Kelompok Demokrasi Pembangunan) cikal-bakal dari Partai Demokrasi Indonesia yang lahir tiga tahun kemudian.”Seusai Partai Golongan Karya (Golkar) memenangi Pemilu 1971 dengan mengantongi 62,8 persen suara, Majelis Permusyawaratan Rakyat (MPR) hasil Pemilu 1971 menyatakan bahwa pada Pemilu 1977 hanya akan ada tiga peserta.Pada 5 Januari 1973 partai-partai Islam, yaitu NU, PSII, dan Perti, membentuk Partai Persatuan Pembangunan (PPP). Lima hari kemudian, pada 10 Januari 1973, tepat hari ini 49 tahun lalu, Kelompok Demokrasi Pembangunan memfusikan diri dalam satu partai bernama Partai Demokrasi Indonesia (PDI).Deklarasi pembentukan PDI ditandatangani perwakilan kelima partai: Achmad Sukardimadjaja dan Mh. Sadri dari IPKI, Ben Mang Reng Say dan F.S. Wignjosumarsono dari Partai Katolik, A. Wenas dan Sabam Sirait dari Parkindo, S. Murbantoko dan Djon Pakan dari Partai Murba, serta Mh. Isnaeni dan Abdul Madjid dari PNI.

Baca juga: Cara Soeharto Menciptakan Partai Demokrasi Indonesia

Tidak lama kemudian, pada 9 Maret 1970, pimpinan partai gabungan kelompok nasionalis—PNI, IPKI, Parkindo, Partai Murba, dan Partai Katolik—membentuk Kelompok Demokrasi Pembangunan untuk menghadapi Pemilihan Umum (Pemilu) 1971. Meski fusi partai-partai politik itu urung terwujud pada Pemilu 1971, tetapi menurut Manuel Kaisiepo, “Inilah (Kelompok Demokrasi Pembangunan) cikal-bakal dari Partai Demokrasi Indonesia yang lahir tiga tahun kemudian.”

Para Kader yang Bertumbangan

Infografik Mozaik Sejarah PDIP. tirto.id/Fuad



Dalih ""Kepentingan yang Lebih Besar""

Pada akhirnya, pusaran dan gejolak sejarah membuat PDI pecah, dan melahirkan Partai Demokrasi Indonesia Perjuangan (PDIP) dengan pemimpin ikoniknya: Megawati Soekarnoputri, yang pada saat itu jadi salah satu simbol perlawanan terhadap Orde Baru.Sejarah terulang dengan cara dan humornya sendiri.Dalam Kongres V di Sanur, Bali, pada 8-11 Agustus 2019, Megawati kembali terpilih secara aklamasi sebagai Ketua Umum PDI Perjuangan untuk periode 2019-2024. Ia bagai seorang matriark yang tak pernah tergeser dari pucuk pimpinan partai.Menurut Eva Kusuma Sundari , Sekretaris Badan Pendidikan dan Pelatihan PDIP, terpilihnya Megawati adalah langkah kader untuk menjaga kondisi internal partai agar tetap stabil hingga 2024.“Capaiannya untuk [memenangkan] presiden, kemudian untuk parlemen. Jadi menurut para delegasi, 2024 itu krusial karena untuk memperkuat ketahanan dan kepemimpinan nasional. Dan tentu PDIP harus sangat cerdas, sangat cermat, sangat teliti, untuk kemudian melakukan upaya-upaya bagi transisi tersebut, sementara yang dipercaya itu hanya Ibu Megawati,” ucapnya kepada(12/8/2019).Menanggapi dirinya yang terpilih kembali sebagai Ketua Umum PDIP, Megawati menyebutnya sebagai kehendak “aspirasi bawah”.“Dari aspirasi bawah yang telah disampaikan pandangan umum yang dilakukan DPD dan DPC sebagai utusan, semua menghendaki secara aklamasi, saya diangkat lagi sebagai Ketum PDIP, periode 2019-2024,” ujar anak kedua Sukarno itu.Kemenangan PDIP secara berturut-turut (2014 dan 2019), baik dalam pemilu legislatif maupun dalam pemilu presiden, membuat partai tersebut berada di atas angin. Para kadernya pun enggan berbuat macam-macam. Susah sekali mendapati, misalnya, kader PDIP yang mengajukan gagasan suksesi kepemimpinan partai.Lebih dari itu, PDIP dianggap sebagai partai feodal yang hanya mengandalkan trah Sukarno sebagai nakhodanya. Siapapun dari luar trah itu yang ingin menjadi ketua umum partai, boleh jadi akan merasa ciut lebih dulu.Sejak PDIP dideklarasikan pada Februari 1999 dan Megawati tak tergantikan dari tampuk kepemimpinan, kader-kader PDIP bukan berarti tak pernah melakukan perlawanan. Sejumlah kader sempat mengkritisi pelbagai kebijakan partai yang tersentralisasi pada sosok Megawati. Tapi nasib mereka semuanya sama: mengundurkan diri atau dipecat.Eros Djarot, politikus senior PDIP yang juga penulis lagu terkenal, sempat mencalonkan diri sebagai ketua umum dalam Kongres I PDIP di Semarang pada 2000. Eros gagal. Ia akhirnya keluar dari PDIP dan mendirikan Partai Nasional Benteng Kemerdekaan (PNBK).Hal serupa dialami Dimyati Hartono. Gagal menjadi Ketua Umum PDIP pada kongres tersebut, ia meninggalkan PDIP dan mendirikan Partai Indonesia Tanah Air Kita (PITA).Sikap kedua kader PDIP tersebut, menurut Subur Tjahjono dalam artikel “Babad Anak Cucu Marhaen” yang dimuat diedisi 7 Desember 2005, adalah bentuk kegagalan PDIP dalam melakukan konsolidasi selepas Orde Baru runtuh. Meski menang pada Pemilu 1999 dengan jargon partainya kaum marhaen dan, kepemimpinan partai masih terlalu bersandar pada karisma Megawati.“Partai ini oleh [para kader] penentangnya dianggap tak demokratis dengan menerapkan kepemimpinan feodal,” tulis Subur Tjahjono.Tjahjono menambahkan, ketidakpuasan para kader terhadap model kepemimpinan dan pengelolaan partai tidak dijawab dengan pembenahan internal. Mereka yang kritis ditendang dan membentuk partai baru, sementara pimpinan PDIP pun enggan untuk berusaha merangkul faksi-faksi yang menentang itu.Empat tahun berselang setelah Kongres I di Semarang pada 2000, gejolak lebih besar terjadi. Kekalahan PDIP pada pemilu legislatif dan pemilu presiden 2004 membuat sejumlah kader seniornya menginginkan pergantian dan perubahan kepemimpinan.Gerakan yang justru dimotori kader-kader terdekat Megawati seperti Laksamana Sukardi dan Roy B.B. Janis ini membuat gaduh Kongres II PDIP di Nusa Dua, Bali.“Kami menginginkan ada evaluasi besar-besaran dalam Kongres karena PDIP mengalami kekalahan beruntun, mulai dari pemilu DPR, pemilu presiden, dan juga pemilihan pimpinan MPR/DPR. Namun, kongres tidak melakukan itu,” ujar Roy B.B. Janis seperti dilansiredisi 6 September 2008.Lebih lanjut Roy menerangkan, ia dan sejumlah kader lainnya sudah muak dengan cara-cara berdemokrasi dengan gaya lama yang sudah ketinggalan zaman, yakni pemberian hak prerogatif yang bersifat mutlak kepada ketua umumnya dan penerapan sistem calon tunggal.“Soeharto saja sebagai presiden sudah kita koreksi, tidak boleh mempunyai kekuasaan mutlak. Tetapi, di partai [malah] masih dipraktikkan,” imbuhnya.Selain dua orang tersebut, ada sejumlah kader lain yang menghendaki suksesi kepemimpinan partai secara demokratis pada Kongres II tahun 2005 dan akhirnya dipecat. Mereka adalah Arifin Panigoro, Sukowaluyo Mintohardjo, Noviantika Nasution, Pius Lustrilanang, Postdam Hutasoit, Angelina Pattiasina, Didi Supriyanto, Peter Sutanto, Sophan Sophiaan, dan Tjandra Widjaya.Roy Janis, Laksamana Sukardi, dan beberapa orang lainnya yang dipecat dari PDIP kemudian mendirikan Partai Demokrasi Pembaruan (PDP) dan ikut dalam Pemilu 2009.Pola kepemimpinan Megawati di PDIP yang feodalistik, menurut peneliti LIPI Anas Saidi dalamedisi 15 Agustus 2003, adalah salah satu bentuk “mimikri sejarah”. Jika pola patronase Orde Baru seluruhnya dikendalikan Soeharto dengan militer dan Golkar sebagai mesin politiknya, maka poladi era Reformasi tersebar lewat sejumlah partai politik termasuk PDIP.“Partai, dalam kenyataannya, tidak lebih dari perpanjangan tangan para ketuanya. Proses pendemokrasian dalam tubuh partai telah dihentikan oleh neo-feodalisme,” tulisnya.Dengan demikian, apa yang diungkapkan Eva Kusuma Sundari bahwa Megawati masih dipercaya dalam masa transisi partai, dan untuk memperkuat ketahanan dan kepemimpinan nasional, nyatanya tak relevan.Enam belas tahun lalu, ungkapan serupa dilontarkan Taufiq Kiemas, suami Megawati, dalam menjawab kritik terhadap feodalisme di tubuh PDIP. Menurutnya, penundaan demokrasi di partai tersebut dilakukan demi kepentingan politik yang “lebih besar” seperti stabilitas politik dan NKRI.“[Hal tersebut] sama sekali tidak relevan/memadai sebagai pembenaran atas perlunya ‘pemangkasan’ aspirasi lokal sebagai basis tumbuhnya budaya demokrasi,” tulis Saidi.Feodalisme di tubuh PDIP pada akhirnya hanya terkesan melahirkan tradisi menjaring para loyalis, bukan calon pemimpin partai yang berbobot dan berkompetisi dari bawah.=========Naskah ini pernah tayang dengan judul ""Sejarah Perlawanan Kader PDIP Terhadap Feodalisme Ketua Umum Partai"" dan diunggah ulang untuk rubrik Mozaik.",https://tirto.id/sejarah-banteng-yang-berusaha-melawan-feodalisme-gns7
"Takarazuka Kageki, Grup Teater Simbol Perempuan Modern Jepang",,"['Sekar Kinasih', 'Https', 'Www.Facebook.Com Tirtoid']","Takarazuka Kageki, grup teater musikal, jadi simbol modernisasi perempuan Jepang. Dicetuskan pada 1913, kelompok ini masih populer dan relevan sekarang.",https://tirto.id/takarazuka-kageki-grup-teater-simbol-perempuan-modern-jepang-gmZ5
Kisah Abdullah Al Qasemi Memopulerkan Ateisme di Timur Tengah,,"['Tyson Tirta', 'Https', 'Www.Facebook.Com Tirtoid']","Al Qasemi menghebohkan Timur Tengah, ia memutuskan pindah dari penganut Salafi menjadi seorang intelektual ateis yang gencar menentang ajaran-ajaran Islam.",https://tirto.id/kisah-abdullah-al-qasemi-memopulerkan-ateisme-di-timur-tengah-gnnW
Membedah Citra Polri Lewat Tagar #PercumaLaporPolisi,,"['Irma Garnesia', 'Https', 'Www.Facebook.Com Tirtoid']","seorang aparatur sipil negara yang punya posisi di kantor pemerintahan daerah.





Baca selengkapnya di artikel ""Pelabelan Berita Hoax oleh Polisi: Tak Paham UU Pers & Pembungkaman"", Polres Luwu Timur yang memberikan cap hoaks terhadap berita yang terkonfirmasi.Baca selengkapnya di artikel ""Pelabelan Berita Hoax oleh Polisi: Tak Paham UU Pers & Pembungkaman"", https://tirto.id/gkfg





yang melakukan pemukulan pada remaja. Infografik Periksa Data Membedah Citra Polri Lewat Tagar. tirto.id/Lugas



Dapat diamati pula melalui visualisasi Word Cloud, PDIP merupakan kata/keyword yang cukup sering muncul (disebut hingga 821 kali).



Dapat diamati pula melalui visualisasi Word Cloud, PDIP merupakan kata/keyword yang cukup sering muncul (disebut hingga 821 kali). Infografik Periksa Data Membedah Citra Polri Lewat Tagar. tirto.id/Lugas

=======

Metode, tahapan, serta data mentah untuk analisis tagar Twitter yang sudah Tirto kumpulkan, bisa diakses di

.",https://tirto.id/membedah-citra-polri-lewat-tagar-percumalaporpolisi-gni7
"Henry Every, Raja Bajak Laut Dunia Nyata",,"['R. A. Benjamin', 'Https', 'Www.Facebook.Com Tirtoid']","Di antara banyak bajak laut yang dikenal dalam sejarah, Henry Every-lah yang mendapat julukan Raja Bajak Laut. Meski begitu, akhir hidupnya sangat gelap.",https://tirto.id/henry-every-raja-bajak-laut-dunia-nyata-gnla
Perang Jawa Menguak Jawa Timur: Tak Semua Orang Madiun Jago Tempur,,"['Christopher Reinhart', 'Https', 'Www.Facebook.Com Tirtoid']","Ketika Perang Jawa berkobar, Bupati Wedana Yogyakarta yang berkedudukan di Madiun justru jauh dari kesan gagah dan jago tempur.",https://tirto.id/perang-jawa-menguak-jawa-timur-tak-semua-orang-madiun-jago-tempur-gnnQ
Kengerian setelah Alat Makan Kolonel de Vries Dicuri di Makassar,,"['Petrik Matanasi', 'Https', 'Www.Facebook.Com Tirtoid']",Kolonel de Vries adalah komandan yang mengurusi Sulawesi Selatan ketika Westerling datang. Dia adalah kawan lama Jenderal Spoor.,https://tirto.id/kengerian-setelah-alat-makan-kolonel-de-vries-dicuri-di-makassar-gm4i
Langkah Keliru Perusahaan Mengkriminalisasi Pengulas demi Rating,,"['Aditya Widya Putri', 'Https', 'Www.Facebook.Com Tirtoid']","Ulasan negatif tak selamanya membuat pelanggan kabur, ia justru bisa jadi trik penjualan menarik jika pemilik bisnis mampu mengemasnya dengan baik.",https://tirto.id/langkah-keliru-perusahaan-mengkriminalisasi-pengulas-demi-rating-gnj1
"Hirohito, Kaisar Jepang yang Lolos dari Percobaan Pembunuhan",,"['Petrik Matanasi', 'Https', 'Www.Facebook.Com Tirtoid']","Baca juga: Muda Bersama Saudara Tua

(1992:2), penanggalan Jepang mulai dipakai. Pada 1942 Masehi menjadi 2602 Syoowa. Tak lupa, Gerakan Tiga A—yang dikenal dengan slogan Nippon Cahaya Asia, Nippon Pelindung Asia, dan Nippon Pemimpin Asia pun dibentuk pada hari ulang tahun Tenno Heika.

Menurut Rosihan, pada 1942 perayaan itu meriah, karena orang-orang Indonesia masih merasa Jepang adalah pembebas dari Belanda. Setahun kemudian--seiring makin loyonya Jepang dalam Perang Pasifik--perayaan ulang tahun Tenno Heika pun ikut loyo.

Meski dirayakan di Indonesia, setiap 29 April pada zaman pendudukan Jepang, tak pernah sekalipun Tenno Heika Hirohito menampakkan diri di hadapan orang-orang yang merayakan ulang tahunnya di Indonesia. Hanya segelintir orang Indonesia saja yang pernah bertemu Tenno Heika di zaman pendudukan Jepang.

Kala itu, Jepang sedang berusaha mengambil hati orang-orang Indonesia agar mau membantu Jepang melawan Sekutu.







Lolos dari Lubang Maut



Hirohito lebih banyak menghabiskan waktu di Tokyo, terutama di istana. “Setelah Pearl Habour [diserang], Hirohito praktis menjadi tawanan di istananya,” tulis buku rilisan Time-Life yang diterjemahkan ke dalam bahasa Indonesia,

(1986:90).



Ia pernah berada di bunker anti bom di istana kaisar Jepang pada 1945 karena terancam nyawanya.

(2017).

Infografik Mozaik Michinomiya Hirohito. tirto.id/Tino

Saat Jerman punya Adolf Hitler yang begitu besar kuasanya, maka Hirohito seolah hanya sebuah simbol di Jepang. Kekuasaan Negeri Matahari Terbit itu dipegang oleh perwira-perwira Angkatan Darat yang haus kemenangan.



Sedari awal pemerintahan Hirohito, Angkatan Darat dan Angkatan Laut Jepang berisikan para perwira yang tidak mau sejalan dengan Hirohito, yang lebih mengusahakan kemakmuran dengan cara damai. Namun, ia tak berdaya mengatur tentara. Para tentara berkuasa dan mengekspansi Asia sejak 1930-an.

Berdasarkan kebiasaan kuno, Hirohito yang masih bayi diasuh keluarga terpandang. Hirohito diasuh oleh keluarga Laksamana Count Kawamura dan istrinya. Ia belajar layaknya anak-anak aristokrat, antara lain belajar politik, sejarah, militer, sains, teknik, bahasa asing (Inggris, Jerman Prancis) dan biologi. Hirohito muda suka berenang dan berlayar di sekitar Teluk Tokyo.

Ketika usianya 20 tahun, setelah berkunjung ke Inggris, Hirohito muda merasa kehidupan di istananya kaku. “Saya mengalami apakah artinya hidup lebih bebas itu,” kata Hirohito dalam

(1986:84).



Ia agak iri melihat Pangeran Wales yang makan di restoran umum dan berdansa dengan gadis-gadis cantik di klub malam. Dia memang tidak bebas begitu kembali ke Jepang.



Namun, ia jadi senang berpakaian Barat, bermain tenis, sarapan telur dan roti panggang. Selain itu, Hirohito tak mau poligami seperti kebanyakan raja-raja di dunia Timur. Di luar itu semua, Hirohito yang jadi kaisar sejak 25 Desember 1926, tak bisa bebas dari ambisi-ambisi perwira Angkatan Darat.



Sejarah mencatat bagaimana Hirohito harus menanggung malu dan kehancuran negaranya pada Agustus 1945. Setelah Kota Hirosima dan Nagasaki dibom atom, negaranya harus menyerah kalah.



==========



Artikel ini terbit pertama kali pada 7 Januari 2018. Redaksi melakukan penyuntingan ulang dan menayangkannya kembali untuk rubrik Mozaik.



",https://tirto.id/hirohito-kaisar-jepang-yang-lolos-dari-percobaan-pembunuhan-cCLj
Tidak Benar Ada Varian Baru Virus COVID-19 Bernama Delmicron,,"['Fina Nailur Rohmah', 'Https', 'Www.Facebook.Com Tirtoid']","Periksa Fakta Delmicron. Instagram/Asyari Usman

Hal ini dilakukan agar masyarakat umum dan berbagai pihak dapat memahami informasi mengenai varian-varian ini dengan lebih mudah serta memastikan bahwa penamaan varian-varian ini bebas stigma. Contohnya, varian yang muncul di India lebih populer disebut varian Delta, ketimbang nama ilmiahnya, yakni B.1.617.2.





Baca selengkapnya di artikel ""Benarkah Mogok Pegawai Pertamina Berpengaruh pada Stok Bahan Bakar?"", ============== Tirto mengundang pembaca untuk mengirimkan informasi-informasi yang berpotensi hoaks ke alamat email factcheck@tirto.id atau nomor aduan WhatsApp +6288223870202 (tautan). Apabila terdapat sanggahan atau pun masukan terhadap artikel-artikel periksa fakta maupun periksa data, pembaca dapat mengirimkannya ke alamat email tersebut.Baca selengkapnya di artikel ""Benarkah Mogok Pegawai Pertamina Berpengaruh pada Stok Bahan Bakar?"", https://tirto.id/gmNY",https://tirto.id/tidak-benar-ada-varian-baru-virus-covid-19-bernama-delmicron-gnhC
Harry Potter setelah Dua Dekade,,"['R. A. Benjamin', 'Https', 'Www.Facebook.Com Tirtoid']",Harry Potter dan kawan-kawan kembali menyapa kita semua. Tapi mereka datang dengan identitas asli.,https://tirto.id/harry-potter-setelah-dua-dekade-gniA
Gempa Banten: BMKG Catat Terjadi 5 Gempa Susulan,,"['Bayu Septianto', 'Https', 'Www.Facebook.Com Tirtoid']","Berdasarkan hasil monitoring terjadi lima kali gempa susulan dengan magnitudo terbesar 5,7.",https://tirto.id/gempa-banten-bmkg-catat-terjadi-5-gempa-susulan-gnGU
Rapat Bamus DPR Tunjuk Baleg Bahas RUU TPKS dengan Pemerintah,,"['Https', 'Www.Facebook.Com Tirtoid']",Rapat Bamus DPR RI juga menetapkan agenda Rapat Paripurna DPR pada Selasa (18/1) adalah pengambilan keputusan RUU TPKS menjadi usul inisiatif DPR.,https://tirto.id/rapat-bamus-dpr-tunjuk-baleg-bahas-ruu-tpks-dengan-pemerintah-gnGS
Gempa Banten: RSUD Kalideres & Kantor Wali Kota Jaktim Rusak Ringan,,"['Riyan Setiawan', 'Https', 'Www.Facebook.Com Tirtoid']","Badan Penanggulangan Bencana Daerah (BPBD) DKI mengatakan Gempabumi tektonik Magnitudo 6,7 di Selatan Banten mengakibatkan Rumah Sakit Umum Daerah (RSUD) Kalideres dan Kantor Wali Kota Jakarta Timur terdampak.





RSUD Kalideres mengalami keretakan pada bagian dinding. Sementara Kantor Walikota Jakarta Timur terjadi kerusakan pada dinding toilet dan keramik terlepas.







""RSUD Kalideres retak sebagian dinding. Kantor Walikota Jakarta Timur, kerusakan pada dinding toilet kondisi keramik terlepas,"" kata Kepala Pusat Data dan Informasi Kebencanaan (Kapusdatin) BPBD Jakarta M Insaf melalui keterangan tertulisnya.



Hingga saat ini, BPBD DKI masih mendata kerugian dan korban yang terdampak akibat Gempabumi tersebut.





Badan Penanggulangan Bencana Nasional (BNPB) mengatakan terjadi gempabumi dengan magnitudo 6,7 mengguncang wilayah Kabupaten Pandeglang, Banten, Jumat (14/1/2022) pukul 16.05 WIB.





Badan Meteorologi Klimatologi dan Geofisika (BMKG) merilis pusat gempabumi itu berada di 7.01 LS dan 105.26 BT pada kedalaman 10 meter.





Laporan Badan Penanggulangan Bencana Daerah (BPBD) Kabupaten Pandeglang, gempabumi itu dirasakan kuat selama 4-5 detik di Kecamatan Sumur dan Kecamatan Mandalawangi, Kabupaten Pandeglang, Banten.





""Warga sempat berhamburan keluar rumah saat merasakan kuatnya guncangan,"" kata Abdul Muhari, Plt. Kepala Pusat Data, Informasi dan Komunikasi Kebencanaan BNPB melalui keterangan tertulisnya.",https://tirto.id/gempa-banten-rsud-kalideres-kantor-wali-kota-jaktim-rusak-ringan-gnGQ
Kejagung Periksa 11 Saksi Kasus Proyek Satelit Kemhan,,"['Https', 'Www.Facebook.Com Tirtoid']","Penyidik Jaksa Agung Muda Tidak Pidana Khusus Kejaksaan Agung memeriksa 11 orang saksi terkait dugaan pelanggaran hukum proyek satelit Kementerian Pertahanan (Kemhan) Tahun 2015-2021 yang merugikan keuangan negara sekitar Rp800 miliar.





“Kami sudah memeriksa beberapa pihak baik dari pihak swasta ataupun rekanan pelaksana maupun dari beberapa orang di Kementerian Pertahanan, jumlah yang diperiksa ada 11 orang,” kata Jaksa Agung Muda tindak Pidana Khusus (JAMPidsus) Kejaksaan Agung Febrie Adriansyah dalam konferensi pers di Kejaksaan Agung, Jakarta, Jumat (14/1/2022), seperti dilansir Antara.







Menurut Febrie, kemungkinan jumlah saksi atau pihak-pihak yang diperiksa akan terus bertambah. Tidak hanya memeriksa saksi-saksi, jaksa penyidik juga menguatkan dari alat bukti surat.



Ia mengatakan ada beberapa dokumen-dokumen yang diperoleh oleh jaksa penyidik khususnya terkait dengan unsur kerugian negara.





Dalam penelusuran barang bukti ini, kata Febrie, jaksa bekerja dengan kehati-hatian dan berkoordinasi dengan pihak-pihak terkait seperti auditor dari Badan Pengawas Keuangan dan Pembangunan (BPKP).





“Tentunya jaksa tidak ceroboh, ini juga sudah dilakukan diskusi dengan rekan-rekan auditor,” ujar Febrie.





Febrie menyebutkan, penyelidikan terhadap kasus ini sudah berlangsung selama satu minggu. Kasus tersebut sudah menjadi perkara prioritas yang ditangani oleh Kejaksaan Agung.





Penyidik JAMPidsus telah melakukan ekspose, dan peserta ekspose menyatakan bahwa alat bukti sudah cukup untuk dilakukan penyidikan. Sehingga Jaksa Agung Sanitiar Burhanuddin menandatangani surat perintah penyidikan dengan Nomor Print 08 tanggal 14 Januari 2022.





“Jadi kita sudah lakukan penyidikan dan ini jadi prioritas penyelesaian bagi kita,” terang Febrie.





Saat ditanya apakah akan memeriksa mantan menteri yang memimpin kala proyek satelit tersebut terjadi, Febrie menyatakan jaksa penyidik bekerja secara profesional untuk memeriksa pihak-pihak yang memiliki korelasi dalam menguatkan pembuktian tanpa melihat dalam kapasitas jabatan maupun posisinya.





“Saya rasa jaksa penyidik kita profesional. Kita tidak melihat dalam kapasitas jabatan, kita tidak melihat posisinya tapi bagi orang-orang yang perlu dimintai keterangan dalam penyidikan dan itu korelasimya untuk pembuktian maka akan kita lakukan pemeriksaan,” ujar Febrie menerangkan.





Proyek satelit Kemhan itu terjadi pada tahun 2015, kala Kemhan dipimpin oleh Ryamizard Ryacudu. Proyek itu berkaitan dengan pengelolaan satelit untuk slot orbit 123 derajat Bujur Timur.





Sementara itu Direktur Penyidikan Supardi mengatakan belum memeriksa mantan Menteri Pertahanan Ryamizard Ryacudu maupun Wiranto terkait perkara ini. Jaksa penyidik masih melihat pihak-pihak yang berkepentingan untuk dilakukan pemeriksaan.





""Belum (diperiksa-red), kita lihat mana pihak-pihak yang berkepentingan, baru nanti penindakan jalan,"" kata Supardi.





Sebelumnya, Panglima TNI Janderal TNI Andika Perkasa menyebutkan ada indikasi keterlibatan anggota TNI dalam kasus pelanggaran hukum proyek satelit Kemhan.





Indikasi tersebut diketahui dalam pertemuan dengn Menteri Koordinator Politik Hukum dan Keamanan Mahfud MD pada Selasa (11/1) lalu.





""Beliau (Menkopolhukam-red) menyampaikan ada indikasi keterlibatan beberapa personel TNI. Dan saat ini proses hukum segera dimulai,"" kata Andika.",https://tirto.id/kejagung-periksa-11-saksi-kasus-proyek-satelit-kemhan-gnGM
"Dampak Gempa Banten M 6,7: Rumah Warga di Pandeglang Rusak",,"['Riyan Setiawan', 'Https', 'Www.Facebook.Com Tirtoid']","Akibat gempa Banten magnitudo 6,7, beberapa rumah warga di Kecamatan Sumur & Kecamatan Munjul, Kabupaten Pandeglang mengalami kerusakan.",https://tirto.id/dampak-gempa-banten-m-67-rumah-warga-di-pandeglang-rusak-gnGK
